1	1074	1075	33.7137
1	84253	84254	2.21489
1	104155	104156	5.22729
1	104518	104519	3.93076
1	104876	104877	6.8855
1	105375	105376	12.5329
1	105997	105998	8.93426
1	106299	106300	9.87156
1	120258	120259	2.21489
1	125022	125023	2.68586
1	141804	141805	6.8855
1	172480	172481	1.85592
1	190336	190337	6.33677
1	226920	226921	6.8855
1	257008	257009	8.03206
1	405424	405425	3.85698
1	475831	475832	3.20392
1	497769	497770	3.41694
1	523515	523516	7.16607
1	528895	528896	208.434
1	716176	716177	8.03206
1	749627	749628	6.06904
1	750632	750633	7.16607
1	766987	766988	14.3107
1	799823	799824	8.03206
1	857418	857419	9.24276
1	923744	923745	10.8423
1	924016	924017	4.55292
1	940631	940632	2.79295
1	940948	940949	2.03267
1	941235	941236	5.04056
1	941571	941572	2.21489
1	941649	941650	1.85592
1	942099	942100	6.33677
1	1015359	1015360	2.99604
1	1203615	1203616	1.51867
1	1203668	1203669	1.85592
1	1203778	1203779	1.51867
1	1203816	1203817	1.85592
1	1230663	1230664	6.06904
1	1490079	1490080	15.4175
1	1598689	1598690	1.51867
1	1690184	1690185	4.55292
1	1713071	1713072	5.54594
1	1713317	1713318	3.20392
1	1714282	1714283	7.45072
1	1719212	1719213	2.59509
1	1719358	1719359	1.85592
1	1720726	1720727	6.8855
1	1725674	1725675	4.08422
1	1728406	1728407	9.87156
1	1735336	1735337	6.33677
1	1738048	1738049	6.40481
1	1738651	1738652	7.59927
1	1741094	1741095	12.8126
1	1741649	1741650	2.54422
1	1743464	1743465	2.40691
1	1744451	1744452	3.40564
1	1749047	1749048	11.8458
1	1749451	1749452	8.32888
1	1778297	1778298	8.03206
1	1778915	1778916	3.63445
1	1927728	1927729	3.85698
1	1927943	1927944	3.41694
1	1928030	1928031	2.21489
1	1963801	1963802	3.20392
1	2058547	2058548	12.1876
1	2082652	2082653	2.40244
1	2090078	2090079	6.33677
1	2177846	2177847	3.85698
1	2291117	2291118	7.16607
1	2355267	2355268	4.55292
1	2478845	2478846	16.1715
1	2537551	2537552	1.85592
1	2757731	2757732	1.51867
1	2826479	2826480	17.3265
1	2889165	2889166	5.54594
1	2915259	2915260	2.99604
1	2915530	2915531	1.35815
1	2915708	2915709	2.21489
1	3093298	3093299	9.24276
1	3105526	3105527	4.08422
1	3106973	3106974	5.80537
1	3141589	3141590	12.8816
